timestamp, uuid, name, clocks.current.graphics [MHz], clocks.current.memory [MHz], clocks.max.graphics [MHz], temperature.gpu, power.draw [W], power.limit [W], utilization.gpu [%], utilization.memory [%], clocks_event_reasons.gpu_idle, clocks_event_reasons.sw_power_cap, clocks_event_reasons.hw_slowdown, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.sw_thermal_slowdown, clocks_event_reasons.active
2026/09/14 17:52:53.445, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2475 MHz, 10251 MHz, 3105 MHz, 75, 449.60 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:52:58.457, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2460 MHz, 10251 MHz, 3105 MHz, 74, 449.57 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:53:03.467, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2490 MHz, 10251 MHz, 3105 MHz, 75, 450.27 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:53:08.479, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2475 MHz, 10251 MHz, 3105 MHz, 75, 449.65 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:53:13.489, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2475 MHz, 10251 MHz, 3105 MHz, 75, 449.99 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:53:18.504, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2475 MHz, 10251 MHz, 3105 MHz, 75, 449.61 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:53:23.515, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2475 MHz, 10251 MHz, 3105 MHz, 75, 449.77 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:53:28.522, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2475 MHz, 10251 MHz, 3105 MHz, 75, 449.73 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:53:33.527, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2475 MHz, 10251 MHz, 3105 MHz, 75, 449.67 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:53:38.542, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2475 MHz, 10251 MHz, 3105 MHz, 74, 449.97 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:53:43.546, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2475 MHz, 10251 MHz, 3105 MHz, 74, 450.02 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:53:48.558, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2490 MHz, 10251 MHz, 3105 MHz, 75, 450.06 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:53:53.566, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2475 MHz, 10251 MHz, 3105 MHz, 75, 449.66 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:53:58.569, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2460 MHz, 10251 MHz, 3105 MHz, 75, 449.70 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:54:03.583, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2490 MHz, 10251 MHz, 3105 MHz, 75, 449.93 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:54:08.599, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2475 MHz, 10251 MHz, 3105 MHz, 75, 449.80 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:54:13.610, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2490 MHz, 10251 MHz, 3105 MHz, 75, 449.72 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:54:18.625, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2475 MHz, 10251 MHz, 3105 MHz, 75, 450.03 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:54:23.641, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2475 MHz, 10251 MHz, 3105 MHz, 74, 449.47 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:54:28.650, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2490 MHz, 10251 MHz, 3105 MHz, 74, 449.82 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
